id ymd run task_version session_time
10192 20100112 4 9VA 17:25:21
10193 20060204 1 12VA 12:13:39
10193 20060204 2 1VA 11:47:33
10193 20060204 3 6AV 12:02:30
10193 20060204 4 9AV 11:55:17
10193 20061118 1 5AV 11:50:57
10193 20061118 2 6AV 11:43:53
10193 20061118 3 8VA 11:58:01
10193 20061118 4 9VA 11:36:37
10193 20071208 1 12VA 09:39:38
10193 20071208 2 4AV 09:31:32
10193 20071208 3 6AV 09:23:58
10193 20071208 4 8VA 09:16:48
10193 20090411 1 10AV 11:46:13
10193 20090411 2 3AV 12:00:27
10193 20090411 3 4VA 11:39:19
10193 20090411 4 7VA 11:53:25
10193 20100116 1 11AV 13:14:39
10193 20100116 2 3VA 13:22:11
10193 20100116 3 4AV 13:36:23
10193 20100116 4 4VA 13:29:29
10193 20100116 5 5AV 17:16:55
10194 20060204 1 11VA 10:30:56
10194 20060204 2 12AV 10:38:03
10194 20060204 3 3VA 10:45:26
10194 20060204 4 7AV 10:23:01
10194 20071208 1 10AV 10:45:21
10194 20071208 2 12AV 10:59:53
10194 20071208 3 1VA 10:38:13
10194 20071208 4 7VA 10:52:34
10195 20060112 1 10VA 17:20:19
10195 20060112 2 11AV 16:53:16
10195 20060112 3 1VA 17:03:12
10195 20060112 4 rev6 17:12:17
10195 20061030 1 11VA 17:26:15
10195 20061030 2 1AV 17:10:19
10195 20061030 3 2VA 17:19:13
10195 20061030 4 6AV 17:33:20
10195 20071020 1 11AV 10:44:01
10195 20071020 2 1AV 10:53:48
10195 20071020 3 4VA 10:35:25
10195 20071020 4 6VA 11:01:24
10196 20060114 1 11AV 17:16:28
10196 20060114 2 3AV 17:01:26
10196 20060114 3 7VA 16:53:35
10196 20060114 4 8VA 17:08:49
10198 20060206 1 12AV 17:07:06
10198 20060206 2 2VA 16:59:32
10198 20060206 3 3VA 16:52:20
10198 20060206 4 5AV 16:44:01
10199 20060113 1 12VA 17:02:08
10199 20060113 2 3AV 17:10:01
10199 20060113 3 6AV 17:17:22
10199 20060113 4 9VA 17:25:28
10200 20060202 1 10AV 17:12:11
10200 20060202 2 1VA 17:02:38
10200 20060202 3 2AV 17:27:35
10200 20060202 4 4VA 17:20:06
10201 20060126 1 12VA 17:06:52
10201 20060126 2 4AV 17:23:03
10201 20060126 3 5AV 16:59:02
10201 20060126 4 9VA 17:15:41
10201 20061209 1 2AV 15:37:11
10201 20061209 2 4VA 15:29:52
10201 20061209 3 5VA 15:44:21
10201 20061209 4 7AV 15:22:15
10201 20071103 1 2AV 10:32:12
10201 20071103 2 3VA 10:39:17
10201 20071103 3 5AV 10:25:04
10201 20071103 4 9VA 10:17:49
10201 20081213 1 1VA 10:12:58
10201 20081213 2 5AV 10:05:17
10201 20081213 3 6VA 10:27:45
10201 20081213 4 8AV 10:20:34
10201 20091210 1 3AV 16:48:21
10201 20091210 2 4AV 16:55:45
10201 20091210 3 5VA 16:40:40
10201 20091210 4 6VA 17:02:59
10202 20060123 1 1AV 17:10:38
10202 20060123 2 2VA 16:55:18
10202 20060123 3 6VA 17:17:59
10202 20060123 4 9AV 17:03:05
10202 20061118 1 10AV 10:36:57
10202 20061118 2 11VA 10:22:55
10202 20061118 3 6AV 10:15:19
